"Statistic Label","Age Group","Sex","Regional Authority Area","Year","UNIT","VALUE"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","Dublin","2002","Thousand","74.2"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","Dublin","2003","Thousand","75.9"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","Dublin","2004","Thousand","78"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","Dublin","2005","Thousand","78.5"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","Dublin","2006","Thousand","78.9"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","Dublin","2007","Thousand","81"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","Dublin","2008","Thousand","84.2"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","Dublin","2009","Thousand","87.6"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","Dublin","2010","Thousand","91.2"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","Dublin","2011","Thousand","93.3"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","Dublin","2012","Thousand","94"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","Dublin","2013","Thousand","92.7"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","Dublin","2014","Thousand","91.6"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","Dublin","2015","Thousand","92"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","Dublin","2016","Thousand","91.4"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","Dublin","2017","Thousand","89.8"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","Mid-East","1996","Thousand","25.9"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","Mid-East","1997","Thousand","26.3"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","Mid-East","1998","Thousand","27.5"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","Mid-East","1999","Thousand","28.7"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","Mid-East","2000","Thousand","30.2"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","Mid-East","2001","Thousand","32.5"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","Mid-East","2002","Thousand","33.8"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","Mid-East","2003","Thousand","35.3"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","Mid-East","2004","Thousand","36.7"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","Mid-East","2005","Thousand","38.6"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","Mid-East","2006","Thousand","40"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","Mid-East","2007","Thousand","41.5"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","Mid-East","2008","Thousand","43.8"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","Mid-East","2009","Thousand","45"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","Mid-East","2010","Thousand","46.6"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","Mid-East","2011","Thousand","48.1"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","Mid-East","2012","Thousand","48.3"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","Mid-East","2013","Thousand","47.5"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","Mid-East","2014","Thousand","46.6"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","Mid-East","2015","Thousand","45"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","Mid-East","2016","Thousand","43.3"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","Mid-East","2017","Thousand","42.3"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","Mid-West","1996","Thousand","21.7"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","Mid-West","1997","Thousand","22.8"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","Mid-West","1998","Thousand","23.3"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","Mid-West","1999","Thousand","23.7"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","Mid-West","2000","Thousand","24"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","Mid-West","2001","Thousand","24.8"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","Mid-West","2002","Thousand","23.9"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","Mid-West","2003","Thousand","24.4"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","Mid-West","2004","Thousand","24.6"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","Mid-West","2005","Thousand","25"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","Mid-West","2006","Thousand","25.2"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","Mid-West","2007","Thousand","25.7"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","Mid-West","2008","Thousand","26.7"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","Mid-West","2009","Thousand","27.4"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","Mid-West","2010","Thousand","27.9"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","Mid-West","2011","Thousand","28.5"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","Mid-West","2012","Thousand","28.6"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","Mid-West","2013","Thousand","28.1"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","Mid-West","2014","Thousand","27.2"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","Mid-West","2015","Thousand","26.5"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","Mid-West","2016","Thousand","26"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","Mid-West","2017","Thousand","24.5"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","South-East","1996","Thousand","27.3"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","South-East","1997","Thousand","26.8"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","South-East","1998","Thousand","27.1"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","South-East","1999","Thousand","27.7"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","South-East","2000","Thousand","28.6"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","South-East","2001","Thousand","29.8"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","South-East","2002","Thousand","30.9"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","South-East","2003","Thousand","31.7"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","South-East","2004","Thousand","32.4"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","South-East","2005","Thousand","33.1"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","South-East","2006","Thousand","33.7"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","South-East","2007","Thousand","34.5"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","South-East","2008","Thousand","36.3"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","South-East","2009","Thousand","37.4"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","South-East","2010","Thousand","37.8"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","South-East","2011","Thousand","38.5"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","South-East","2012","Thousand","38.5"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","South-East","2013","Thousand","37.7"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","South-East","2014","Thousand","36.4"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","South-East","2015","Thousand","35.6"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","South-East","2016","Thousand","35"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","South-East","2017","Thousand","34.2"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","South-West","1996","Thousand","37"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","South-West","1997","Thousand","36.9"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","South-West","1998","Thousand","37"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","South-West","1999","Thousand","38"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","South-West","2000","Thousand","38.4"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","South-West","2001","Thousand","39.2"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","South-West","2002","Thousand","39.7"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","South-West","2003","Thousand","40.3"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","South-West","2004","Thousand","40.8"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","South-West","2005","Thousand","41.7"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","South-West","2006","Thousand","42.4"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","South-West","2007","Thousand","43.8"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","South-West","2008","Thousand","45"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","South-West","2009","Thousand","46.8"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","South-West","2010","Thousand","48.5"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","South-West","2011","Thousand","50.1"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","South-West","2012","Thousand","50.5"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","South-West","2013","Thousand","50.1"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","South-West","2014","Thousand","49"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","South-West","2015","Thousand","46.7"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","South-West","2016","Thousand","46.5"
"Estimated Population (Persons in April)","0 - 4 years","Both sexes","South-West","2017","Thousand","45.5"
"Estimated Population (Persons in April)","0 - 4 years","Male","State","1996","Thousand","128.7"
"Estimated Population (Persons in April)","0 - 4 years","Male","State","1997","Thousand","128.7"
"Estimated Population (Persons in April)","0 - 4 years","Male","State","1998","Thousand","130.8"
"Estimated Population (Persons in April)","0 - 4 years","Male","State","1999","Thousand","134"
"Estimated Population (Persons in April)","0 - 4 years","Male","State","2000","Thousand","137.2"
"Estimated Population (Persons in April)","0 - 4 years","Male","State","2001","Thousand","140.4"
"Estimated Population (Persons in April)","0 - 4 years","Male","State","2002","Thousand","142"
"Estimated Population (Persons in April)","0 - 4 years","Male","State","2003","Thousand","145.4"
"Estimated Population (Persons in April)","0 - 4 years","Male","State","2004","Thousand","148.7"
"Estimated Population (Persons in April)","0 - 4 years","Male","State","2005","Thousand","151.7"
"Estimated Population (Persons in April)","0 - 4 years","Male","State","2006","Thousand","154.7"
"Estimated Population (Persons in April)","0 - 4 years","Male","State","2007","Thousand","159.4"
"Estimated Population (Persons in April)","0 - 4 years","Male","State","2008","Thousand","165.9"
"Estimated Population (Persons in April)","0 - 4 years","Male","State","2009","Thousand","171.4"
"Estimated Population (Persons in April)","0 - 4 years","Male","State","2010","Thousand","177.6"
"Estimated Population (Persons in April)","0 - 4 years","Male","State","2011","Thousand","182"
"Estimated Population (Persons in April)","0 - 4 years","Male","State","2012","Thousand","182.7"
"Estimated Population (Persons in April)","0 - 4 years","Male","State","2013","Thousand","180"
"Estimated Population (Persons in April)","0 - 4 years","Male","State","2014","Thousand","176"
"Estimated Population (Persons in April)","0 - 4 years","Male","State","2015","Thousand","172.4"
"Estimated Population (Persons in April)","0 - 4 years","Male","State","2016","Thousand","169.7"
"Estimated Population (Persons in April)","0 - 4 years","Male","State","2017","Thousand","166.1"
"Estimated Population (Persons in April)","0 - 4 years","Male","Border","1996","Thousand","11.9"
"Estimated Population (Persons in April)","0 - 4 years","Male","Border","1997","Thousand","13.9"
"Estimated Population (Persons in April)","0 - 4 years","Male","Border","1998","Thousand","14.1"
"Estimated Population (Persons in April)","0 - 4 years","Male","Border","1999","Thousand","14.5"
"Estimated Population (Persons in April)","0 - 4 years","Male","Border","2000","Thousand","15.2"
"Estimated Population (Persons in April)","0 - 4 years","Male","Border","2001","Thousand","15.4"
"Estimated Population (Persons in April)","0 - 4 years","Male","Border","2002","Thousand","16.5"
"Estimated Population (Persons in April)","0 - 4 years","Male","Border","2003","Thousand","16.5"
"Estimated Population (Persons in April)","0 - 4 years","Male","Border","2004","Thousand","16.7"
"Estimated Population (Persons in April)","0 - 4 years","Male","Border","2005","Thousand","17.2"
"Estimated Population (Persons in April)","0 - 4 years","Male","Border","2006","Thousand","17.7"
"Estimated Population (Persons in April)","0 - 4 years","Male","Border","2007","Thousand","18.1"
"Estimated Population (Persons in April)","0 - 4 years","Male","Border","2008","Thousand","19"
"Estimated Population (Persons in April)","0 - 4 years","Male","Border","2009","Thousand","19.7"
"Estimated Population (Persons in April)","0 - 4 years","Male","Border","2010","Thousand","20.7"
"Estimated Population (Persons in April)","0 - 4 years","Male","Border","2011","Thousand","21.1"
"Estimated Population (Persons in April)","0 - 4 years","Male","Border","2012","Thousand","21"
"Estimated Population (Persons in April)","0 - 4 years","Male","Border","2013","Thousand","20.7"
"Estimated Population (Persons in April)","0 - 4 years","Male","Border","2014","Thousand","20.1"
"Estimated Population (Persons in April)","0 - 4 years","Male","Border","2015","Thousand","19.7"
"Estimated Population (Persons in April)","0 - 4 years","Male","Border","2016","Thousand","19"
"Estimated Population (Persons in April)","0 - 4 years","Male","Border","2017","Thousand","18.5"
"Estimated Population (Persons in April)","0 - 4 years","Male","Midland","1996","Thousand","13.3"
"Estimated Population (Persons in April)","0 - 4 years","Male","Midland","1997","Thousand","7.4"
"Estimated Population (Persons in April)","0 - 4 years","Male","Midland","1998","Thousand","7.5"
"Estimated Population (Persons in April)","0 - 4 years","Male","Midland","1999","Thousand","7.7"
"Estimated Population (Persons in April)","0 - 4 years","Male","Midland","2000","Thousand","7.9"
"Estimated Population (Persons in April)","0 - 4 years","Male","Midland","2001","Thousand","8.4"
"Estimated Population (Persons in April)","0 - 4 years","Male","Midland","2002","Thousand","8.9"
"Estimated Population (Persons in April)","0 - 4 years","Male","Midland","2003","Thousand","9.3"
"Estimated Population (Persons in April)","0 - 4 years","Male","Midland","2004","Thousand","9.6"
"Estimated Population (Persons in April)","0 - 4 years","Male","Midland","2005","Thousand","9.6"
"Estimated Population (Persons in April)","0 - 4 years","Male","Midland","2006","Thousand","9.9"
"Estimated Population (Persons in April)","0 - 4 years","Male","Midland","2007","Thousand","10.4"
"Estimated Population (Persons in April)","0 - 4 years","Male","Midland","2008","Thousand","10.7"
"Estimated Population (Persons in April)","0 - 4 years","Male","Midland","2009","Thousand","11.1"
"Estimated Population (Persons in April)","0 - 4 years","Male","Midland","2010","Thousand","11.7"
"Estimated Population (Persons in April)","0 - 4 years","Male","Midland","2011","Thousand","12.3"
"Estimated Population (Persons in April)","0 - 4 years","Male","Midland","2012","Thousand","12.5"
"Estimated Population (Persons in April)","0 - 4 years","Male","Midland","2013","Thousand","12.3"
"Estimated Population (Persons in April)","0 - 4 years","Male","Midland","2014","Thousand","11.9"
"Estimated Population (Persons in April)","0 - 4 years","Male","Midland","2015","Thousand","11.5"
"Estimated Population (Persons in April)","0 - 4 years","Male","Midland","2016","Thousand","11.1"
"Estimated Population (Persons in April)","0 - 4 years","Male","Midland","2017","Thousand","11.5"
"Estimated Population (Persons in April)","0 - 4 years","Male","West","1996","Thousand","18.9"
"Estimated Population (Persons in April)","0 - 4 years","Male","West","1997","Thousand","11.7"
"Estimated Population (Persons in April)","0 - 4 years","Male","West","1998","Thousand","11.9"
"Estimated Population (Persons in April)","0 - 4 years","Male","West","1999","Thousand","12.2"
"Estimated Population (Persons in April)","0 - 4 years","Male","West","2000","Thousand","12.5"
"Estimated Population (Persons in April)","0 - 4 years","Male","West","2001","Thousand","12.6"
"Estimated Population (Persons in April)","0 - 4 years","Male","West","2002","Thousand","13"
"Estimated Population (Persons in April)","0 - 4 years","Male","West","2003","Thousand","13.3"
"Estimated Population (Persons in April)","0 - 4 years","Male","West","2004","Thousand","13.6"
"Estimated Population (Persons in April)","0 - 4 years","Male","West","2005","Thousand","13.9"
"Estimated Population (Persons in April)","0 - 4 years","Male","West","2006","Thousand","14.5"
"Estimated Population (Persons in April)","0 - 4 years","Male","West","2007","Thousand","14.6"
"Estimated Population (Persons in April)","0 - 4 years","Male","West","2008","Thousand","15.4"
"Estimated Population (Persons in April)","0 - 4 years","Male","West","2009","Thousand","15.8"
"Estimated Population (Persons in April)","0 - 4 years","Male","West","2010","Thousand","16.2"
"Estimated Population (Persons in April)","0 - 4 years","Male","West","2011","Thousand","16.6"
"Estimated Population (Persons in April)","0 - 4 years","Male","West","2012","Thousand","16.8"
"Estimated Population (Persons in April)","0 - 4 years","Male","West","2013","Thousand","16.7"
"Estimated Population (Persons in April)","0 - 4 years","Male","West","2014","Thousand","16.4"
"Estimated Population (Persons in April)","0 - 4 years","Male","West","2015","Thousand","16"
"Estimated Population (Persons in April)","0 - 4 years","Male","West","2016","Thousand","15.7"
"Estimated Population (Persons in April)","0 - 4 years","Male","West","2017","Thousand","15.3"
"Estimated Population (Persons in April)","0 - 4 years","Male","Dublin","1996","Thousand","14.7"
"Estimated Population (Persons in April)","0 - 4 years","Male","Dublin","1997","Thousand","38.1"
"Estimated Population (Persons in April)","0 - 4 years","Male","Dublin","1998","Thousand","38.5"
"Estimated Population (Persons in April)","0 - 4 years","Male","Dublin","1999","Thousand","38.9"
"Estimated Population (Persons in April)","0 - 4 years","Male","Dublin","2000","Thousand","39.4"
"Estimated Population (Persons in April)","0 - 4 years","Male","Dublin","2001","Thousand","39.2"
"Estimated Population (Persons in April)","0 - 4 years","Male","Dublin","2002","Thousand","37.9"
"Estimated Population (Persons in April)","0 - 4 years","Male","Dublin","2003","Thousand","38.8"
"Estimated Population (Persons in April)","0 - 4 years","Male","Dublin","2004","Thousand","39.8"
"Estimated Population (Persons in April)","0 - 4 years","Male","Dublin","2005","Thousand","40.3"
"Estimated Population (Persons in April)","0 - 4 years","Male","Dublin","2006","Thousand","40.3"
"Estimated Population (Persons in April)","0 - 4 years","Male","Dublin","2007","Thousand","41.6"
"Estimated Population (Persons in April)","0 - 4 years","Male","Dublin","2008","Thousand","42.8"
"Estimated Population (Persons in April)","0 - 4 years","Male","Dublin","2009","Thousand","44.4"
"Estimated Population (Persons in April)","0 - 4 years","Male","Dublin","2010","Thousand","46.8"
"Estimated Population (Persons in April)","0 - 4 years","Male","Dublin","2011","Thousand","47.6"
"Estimated Population (Persons in April)","0 - 4 years","Male","Dublin","2012","Thousand","47.8"
"Estimated Population (Persons in April)","0 - 4 years","Male","Dublin","2013","Thousand","46.9"
"Estimated Population (Persons in April)","0 - 4 years","Male","Dublin","2014","Thousand","46.5"
"Estimated Population (Persons in April)","0 - 4 years","Male","Dublin","2015","Thousand","46.8"
"Estimated Population (Persons in April)","0 - 4 years","Male","Dublin","2016","Thousand","46.8"
"Estimated Population (Persons in April)","0 - 4 years","Male","Dublin","2017","Thousand","45.8"
"Estimated Population (Persons in April)","0 - 4 years","Male","Mid-East","1996","Thousand","37.6"
"Estimated Population (Persons in April)","0 - 4 years","Male","Mid-East","1997","Thousand","13.3"
"Estimated Population (Persons in April)","0 - 4 years","Male","Mid-East","1998","Thousand","13.9"
"Estimated Population (Persons in April)","0 - 4 years","Male","Mid-East","1999","Thousand","14.8"
"Estimated Population (Persons in April)","0 - 4 years","Male","Mid-East","2000","Thousand","15.6"
